username,comment
aabhishekchandraa,Beautiful
lubna_mjd,price please
curlyhead_director,❤️❤️❤️
saniaamroz,@lubna_mjd
areebabutt253,@lubna_mjd 14500
lubna_mjd,@areebabutt253 available hai ???
areebabutt253,@lubna_mjd ap Google py search krein m by mahira
areebabutt253,@lubna_mjd ap Google py search krein m by mahira  (duplicate preserved)
lubna_mjd,@areebabutt253 main ne join kiya hova sold out hai 😔
user123,Love this outfit! Where can I buy it?
fashion_lover,The color combination is perfect for summer
style_queen,@mbymahira Will you be restocking this?
shopper_ali,I got this last week - quality is amazing!
trend_watcher,This is going viral in my city!
user456,@fashion_lover I agree! The pastels are gorgeous
deal_finder,Any discount codes available?
fashion_critic,The cut could be more flattering for plus sizes
eid_shopper,Perfect for Eid outfits! 💕
pakistani_fashion,This design is trending in Lahore right now
bargain_hunter,Found it cheaper on another site
loyal_customer,Always love your collections!
new_fan,Just discovered your brand - amazing!
size_concerned,Do you have this in XXL size?
color_lover,The mint green version is stunning
fashion_blogger,Featured this in my latest blog post!
material_question,What fabric is this made from?
gift_shopper,Would this make a good gift?
shipping_question,How long does delivery take to Karachi?
outfit_lover,Wore this to a wedding last week - got so many compliments!
fabric_question,Is the material breathable for summer?
stylist_advice,Pair this with nude heels for best look
return_policy,What's your return policy if it doesn't fit?
dup_finder,@mbymahira Is this similar to your spring collection?
accessory_suggestion,Gold jewelry would look perfect with this
international_buyer,Do you ship internationally?
care_instructions,How should I wash this fabric?
influencer_comment,Featured this on my page - followers loved it!
curlyhead_director,❤️❤️❤️
lubna_mjd,price please
afreenmalikofficial,The class😍😍😍😍
aabhishekchandraa,Beautiful
theunbalancedlibran,🤍
wasifaroqi,How you do this every damn time 😭😍
tirupatidesigns,😍😍
seherhafeez,OMG I LOVE THIS OUTFIT ALLAH
jasim_8371b,Collection is  very nice. And unique. But very expensive 😢
asifaqureshi2023,I want to buy Kolhapuri chappal. Love Kolhapuri chappals from India.
rabiyayahassan,"Hey, I’m interested in ordering but need to clarify, Is the size chart in inches or cm?"
sarahidrees22,Price
sa46ghjjj,Osm Mahira jee.Always stay blessed and beautiful ❤️❤️❤️. love from India ♥️♥️♥️♥️
asifaqureshi2023,@mbymahira Are you going to restock it?
nanikabacha_,"Honestly looking like an angel 😇 
@mahirahkhan 🤍"
